Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
?,?,eth1/55/6,47-53-59-60,,,,0,0
?,?,eth1/55/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/55/8,47-53-59-60,,,,0,0
?,?,eth1/56/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/56/2,47-53-59-60,,,,0,0
?,?,eth1/56/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/56/4,47-53-59-60,,,,0,0
?,?,eth1/56/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/56/6,47-53-59-60,,,,0,0
?,?,eth1/56/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/56/8,47-53-59-60,,,,0,0
?,?,eth1/57/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/57/2,47-53-59-60,,,,0,0
?,?,eth1/57/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/57/4,47-53-59-60,,,,0,0
?,?,eth1/57/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/57/6,47-53-59-60,,,,0,0
?,?,eth1/57/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/57/8,47-53-59-60,,,,0,0
?,?,eth1/58/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/58/2,47-53-59-60,,,,0,0
?,?,eth1/58/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/58/4,47-53-59-60,,,,0,0
?,?,eth1/58/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/58/6,47-53-59-60,,,,0,0
?,?,eth1/58/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/58/8,47-53-59-60,,,,0,0
?,?,eth1/59/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/59/2,47-53-59-60,,,,0,0
?,?,eth1/59/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/59/4,47-53-59-60,,,,0,0
?,?,eth1/59/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/59/6,47-53-59-60,,,,0,0
?,?,eth1/59/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/59/8,47-53-59-60,,,,0,0
?,?,eth1/60/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/60/2,47-53-59-60,,,,0,0
?,?,eth1/60/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/60/4,47-53-59-60,,,,0,0
?,?,eth1/60/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/60/6,47-53-59-60,,,,0,0
?,?,eth1/60/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/60/8,47-53-59-60,,,,0,0
?,?,eth1/61/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/61/2,47-53-59-60,,,,0,0
?,?,eth1/61/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/61/4,47-53-59-60,,,,0,0
?,?,eth1/61/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/61/6,47-53-59-60,,,,0,0
?,?,eth1/61/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/61/8,47-53-59-60,,,,0,0
?,?,eth1/62/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/62/2,47-53-59-60,,,,0,0
?,?,eth1/62/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/62/4,47-53-59-60,,,,0,0
?,?,eth1/62/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/62/6,47-53-59-60,,,,0,0
?,?,eth1/62/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/62/8,47-53-59-60,,,,0,0
?,?,eth1/63/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/63/2,47-53-59-60,,,,0,0
?,?,eth1/63/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/63/4,47-53-59-60,,,,0,0
?,?,eth1/63/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/63/6,47-53-59-60,,,,0,0
?,?,eth1/63/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/63/8,47-53-59-60,,,,0,0
?,?,eth1/64/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/64/2,47-53-59-60,,,,0,0
?,?,eth1/64/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/64/4,47-53-59-60,,,,0,0
?,?,eth1/64/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/64/6,47-53-59-60,,,,0,0
?,?,eth1/64/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/64/8,47-53-59-60,,,,0,0
