Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
?,?,eth1/13/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/13/6,47-53-59-60,,,,0,0
?,?,eth1/13/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/13/8,47-53-59-60,,,,0,0
?,?,eth1/14/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/14/2,47-53-59-60,,,,0,0
?,?,eth1/14/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/14/4,47-53-59-60,,,,0,0
?,?,eth1/14/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/14/6,47-53-59-60,,,,0,0
?,?,eth1/14/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/14/8,47-53-59-60,,,,0,0
?,?,eth1/15/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/15/2,47-53-59-60,,,,0,0
?,?,eth1/15/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/15/4,47-53-59-60,,,,0,0
?,?,eth1/15/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/15/6,47-53-59-60,,,,0,0
?,?,eth1/15/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/15/8,47-53-59-60,,,,0,0
?,?,eth1/16/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/16/2,47-53-59-60,,,,0,0
?,?,eth1/16/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/16/4,47-53-59-60,,,,0,0
?,?,eth1/16/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/16/6,47-53-59-60,,,,0,0
?,?,eth1/16/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/16/8,47-53-59-60,,,,0,0
?,?,eth1/17/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/17/2,47-53-59-60,,,,0,0
?,?,eth1/17/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/17/4,47-53-59-60,,,,0,0
?,?,eth1/17/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/17/6,47-53-59-60,,,,0,0
?,?,eth1/17/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/17/8,47-53-59-60,,,,0,0
?,?,eth1/18/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/18/2,47-53-59-60,,,,0,0
?,?,eth1/18/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/18/4,47-53-59-60,,,,0,0
?,?,eth1/18/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/18/6,47-53-59-60,,,,0,0
?,?,eth1/18/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/18/8,47-53-59-60,,,,0,0
?,?,eth1/19/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/19/2,47-53-59-60,,,,0,0
?,?,eth1/19/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/19/4,47-53-59-60,,,,0,0
?,?,eth1/19/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/19/6,47-53-59-60,,,,0,0
?,?,eth1/19/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/19/8,47-53-59-60,,,,0,0
?,?,eth1/20/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/20/2,47-53-59-60,,,,0,0
?,?,eth1/20/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/20/4,47-53-59-60,,,,0,0
?,?,eth1/20/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/20/6,47-53-59-60,,,,0,0
?,?,eth1/20/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/20/8,47-53-59-60,,,,0,0
?,?,eth1/21/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/21/2,47-53-59-60,,,,0,0
?,?,eth1/21/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/21/4,47-53-59-60,,,,0,0
?,?,eth1/21/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/21/6,47-53-59-60,,,,0,0
?,?,eth1/21/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/21/8,47-53-59-60,,,,0,0
?,?,eth1/22/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/22/2,47-53-59-60,,,,0,0
?,?,eth1/22/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/22/4,47-53-59-60,,,,0,0
?,?,eth1/22/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/22/6,47-53-59-60,,,,0,0
?,?,eth1/22/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/22/8,47-53-59-60,,,,0,0
?,?,eth1/23/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/23/2,47-53-59-60,,,,0,0
?,?,eth1/23/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/23/4,47-53-59-60,,,,0,0
?,?,eth1/23/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/23/6,47-53-59-60,,,,0,0
?,?,eth1/23/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/23/8,47-53-59-60,,,,0,0
?,?,eth1/24/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
